Record,Site_ID,Lat_Field,Long_Field,DRNAREA_mi2,Stream_name,Period,Region,Climate Class,Original Site,Class_actual,Class_nominal,Class_OSDAM,Class_final,Class_comb,SI_macro,SI_amph,SI_fish,Date,Time_tot,B&B,Structure,Texture,Erosion,Deposition,Sinuosity,Headcuts,GW,Springs,Leaflitter,Debris,Redox,Wetl_pl_M09,Roots,Mosses,Bacteria,Macro_M08,Macro_M09,Amph_M08,Amph_M09,Fish,Lichen,Riparian,Tot_geo_M09,Tot_hyd,Tot_bio_M09,Tot_all_M09,Width,Length,Slope_v,Slope_t,%Bedrock,SW_char,%SF,%SF_hyp,Pools,Q,Temp,Conduct,Thalwag,Straight,Ratio,Bends,Trichop,Hemip,Coleop,Decap,Ephem,Plecop,Basom,Odon,Other_macro,Macro_M09b,Macro_ind,Amph_ind,Wtl_pl_ind,Wet_hole,Dry_hole,Condition,Condition_2,Macro_present,Wtl_pl_present,Ephem_present,Per_macro_present,Slope_16,Slope_10_5
283,136,44.39264,-122.17999,0.08,Unnamed trib to Snow Creek,F09,OR_w,V,Y,P,P,P,P,P,1,0,0,9/22/2009,0:34,3,3,3,1.5,3,3,1.5,2,3,0,1,0,1.5,3,0,0,2,3,0,0,0,0,0,18,6,7.5,31.5,1.23,50.6,45,37,25,Continuous surface flow,100,100,NA,TS,12.1,36.7,50.6,41.6,1.22,2.5,2,0,0,0,2,2,0,0,0,4,saddle case maker caddisfly,none,VNA,0,NA,natural,natural,1,1,1,1,1,0
284,137,45.08608,-122.05639,0.06,Unnamed trib to Clackamas River,F09,OR_w,V,Y,E,I,E,E,E,0,0,0,9/9/2009,0:30,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,30,20,20,0,Surface water absent,0,0,0,0,NA,NA,NA,30,NA,NA,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-50,natural,natural,0,0,0,0,1,0
285,141,44.40413,-122.31182,0.01,Unnamed trib to South Santiam River,F09,OR_w,V,Y,E,P,I,E,E,0,0,0,9/22/2009,0:22,3,3,3,1.5,3,1,1.5,0,0,0,1.5,0,0.5,3,0,0,0,0,0,0,0,0,0,16,1.5,3.5,21,0.93,37.3,20,18,0,Surface water absent,0,0,0,0,NA,NA,37.3,34.2,1.09,1.5,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-30,natural,natural,0,0,0,0,1,0
286,142,44.40272,-122.32603,0.08,Unnamed trib to South Santiam River,F09,OR_w,V,Y,P,P,I,P,P,1,0,0,9/22/2009,0:26,3,3,3,1.5,2,1,1,2,0,0.5,0,0,0.75,3,0,0,2,3,0,0,0,0,0,14.5,2.5,6.75,23.75,0.76,36,12,12,0,Surface flow present but not continuous,95,100,NA,TS,12.8,71.6,36,34.7,1.04,4,1,2,0,1,2,2,0,0,0,4,5 EPT,none,VNA,0,0,natural,natural,1,1,1,1,0,0
287,143,44.72705,-122.25266,0.04,Unnamed trib to North Santiam River,F09,OR_w,V,Y,P,I,P,I,I,1,0,0,9/10/2009,0:40,3,3,3,1.5,3,2,1.5,3,0,1,1.5,0,0.75,3,0,0,1,3,0,0,0,0,0,17,5.5,6.75,29.25,0.83,32,50,45,50,No observable surface flow but at least one pool present,0,100,2,0,NA,NA,32,29,1.1,3,1,0,0,0,0,0,0,0,0,4,free living caddisfly,none,VNA,NA,-10,natural,natural,1,1,0,1,1,0
288,147,43.61868,-122.08362,0.05,Unnamed trib to Salt Creek,F09,OR_w,V,N,I,E,I,I,I,1,0,0,8/25/2009,0:40,2,2,3,1.5,3,3,1.5,0,0,1,1,0,2,2,0,0,3,2,0,0,0,0,0,16,2,6,24,0.78,37.2,11,9,0,Surface flow present but not continuous,90,90,NA,0.000768313,7.4,45.2,37.2,30.9,1.2,4.5,0,0,0,0,3,2,0,0,0,2,2 EPT,none,VNA,-30,-15,natural,natural,1,1,1,0,0,0
289,153,43.79659,-122.56046,0.07,Unnamed trib to Middle Fork Willamette River,F09,OR_w,W,Y,P,I,P,P,P,1,0,0,8/26/2009,1:00,3,3,3,1.5,3,1,1.5,3,3,1.5,1.5,0,0.75,3,0,0,3,3,0,0,0,0,0,16,9,6.75,31.75,1.28,52,17,16,10,Surface flow present but not continuous,90,100,NA,0.001537597,13.4,53.8,52,49,1.06,2,0,4,0,1,4,2,0,0,0,4,golden stonefly,none,VNA,10,-10,natural,natural,1,1,1,1,1,0
290,160,44.4151,-122.03959,0.12,Unnamed trib to Hackleman Creek,F09,OR_w,V,Y,E,E,I,E,I,0,0,0,9/23/2009,0:28,3,3,3,1.5,3,1,1.5,0,0,0,1.5,0,0.75,3,0,0,0,0,0,0,0,0,0,16,1.5,3.75,21.25,0.8,30,12,11,0,Surface water absent,0,0,0,0,NA,NA,30,28.7,1.05,1,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-50,natural,natural,0,1,0,0,0,0
291,176,44.40307,-122.08722,0.08,Unnamed trib to Hackleman Creek,F09,OR_w,V,Y,E,P,I,E,E,0,0,0,9/23/2009,0:28,2,2,2,1.5,2,1,1.5,0,0,0,0.5,0,0.75,2,0,0,0,0,0,0,0,0,0,12,0.5,2.75,15.25,0.96,58,12,12,0,Surface water absent,0,0,0,0,NA,NA,58,56.2,1.03,2.5,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-50,natural,natural,0,1,0,0,0,0
292,182,45.05848,-123.67855,0.1,Unnamed trib to Rogue River,F09,OR_w,V,Y,P,P,P,I,I,1,0,1,8/11/2009,0:38,3,3,3,1.5,3,3,1.5,1,0,1,1.5,1.5,0.75,2,0,0,3,3,0,0,2,0,0,18,5,7.75,30.75,1.16,44,5,4,0,Continuous surface flow,100,100,NA,0.000497491,14.6,66.2,44,34,1.29,4.5,2,4,0,0,2,2,0,0,0,3,5 EPT,none,VNA,-15,NA,natural,natural,1,1,1,0,0,1
293,184,43.61834,-122.08235,0.07,Unnamed trib to Salt Creek,F09,OR_w,V,Y,I,E,I,E,I,0,0,0,8/25/2009,0:45,3,2,3,1.5,3,1,1.5,0,0,0.5,1.5,0,0.75,3,0,0,0,0,0,0,0,0,0,15,2,3.75,20.75,1.27,30,18,17,0,Surface water absent,0,0,0,0,NA,NA,30,27.8,1.08,2.5,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-20,natural,natural,0,1,0,0,1,0
294,185,45.17457,-122.16239,0.04,Unnamed trib to Clackamas River,F09,OR_w,V,Y,E,I,E,E,E,0,0,0,9/9/2009,0:30,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0.5,1.5,0,30,41,41,0,Surface water absent,0,0,0,0,NA,NA,NA,26.5,NA,0,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-20,natural,natural,0,0,0,0,1,0
295,193,44.65164,-121.94846,0.07,Unnamed trib to North Santiam River,F09,OR_w,V,Y,E,I,E,E,E,0,0,0,9/10/2009,0:20,1,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,2,0,0.5,2.5,0.4,30,6,6,0,Surface water absent,0,0,0,0,NA,NA,30,28.5,1.05,2,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-50,natural,natural,0,0,0,0,0,1
296,199,43.62942,-122.35194,0.04,Unnamed trib to Juniper Creek,F09,OR_w,W,N,P,E,I,I,I,0,0,0,8/26/2009,1:00,2,1,1,0.5,1,2,0,1,0,0.5,0.5,1.5,1.5,3,0,0,1,1,0,0,0,0,0,7.5,3.5,5.5,16.5,1.45,30,3,3,0,Surface flow present but not continuous,70,100,NA,TS,NA,NA,30,26.5,1.13,3,0,0,0,0,1,0,0,0,0,1,mayflies,none,VNA,-20,0,natural,natural,1,1,0,0,0,1
297,201,43.64912,-122.42476,0.15,Unnamed trib to Middle Fork Willamette River,F09,OR_w,W,Y,P,I,P,P,I,1,0,0,8/26/2009,1:04,3,3,3,1.5,3,2,1.5,3,0,1,1.5,0,0.5,0,0,0,3,2,0,0,0,0,0,17,5.5,2.5,25,1.76,70.7,18,16,20,No observable surface flow but at least one pool present,0,100,8,0,NA,NA,70.7,61.5,1.15,6,3,0,0,0,3,1,0,0,4,2,2 EPT,none,VNA,NA,-20,natural,natural,1,0,1,0,1,0
298,204,43.66168,-123.12519,0.3,Unnamed trib to Numbers Creek,F09,OR_w,W,Y,P,P,P,P,P,1,0,0,9/8/2009,0:25,3,3,3,1.5,3,3,1.5,2,0,1.5,0.5,1.5,1.5,3,0,0,2,3,0,0,0,0,0,18,5.5,7.5,31,0.73,46,7,6,0,Surface flow present but not continuous,85,100,NA,0.003468198,10,31.5,46,37.4,1.23,4,1,0,0,0,2,1,0,0,0,4,free living caddisfly,none,VNA,-10,-50,natural,natural,1,1,1,1,0,1
299,211,43.68937,-122.41305,0.2,Unnamed trib to Middle Fork Willamette River,F09,OR_w,W,N,I,I,P,I,I,1,0,0,8/25/2009,0:40,3,3,3,1.5,3,1,1.5,3,0,1,1.5,0,0.5,3,0.5,0,3,2,0,0,0,0,0,16,5.5,6,27.5,1.93,78.7,12,11,10,No observable surface flow but at least one pool present,0,40,5,0,14.3,1497,78.7,74,1.06,3.5,0,4,1,0,1,0,0,0,0,2,scavenger beetle,none,VNA,NA,-30,natural,natural,1,0,0,0,0,0
300,213,43.69535,-122.93059,0.25,Unnamed trib to Blue Creek,F09,OR_w,W,N,E,E,E,E,E,0,0,0,9/8/2009,0:15,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,30,37,37,0,Surface water absent,0,0,0,0,NA,NA,NA,30,NA,0,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-50,natural,natural,0,0,0,0,1,0
301,222,43.75988,-122.93753,0.12,Unnamed trib to Row River,F09,OR_w,W,Y,P,P,P,P,P,1,0,0,9/10/2009,0:26,3,3,3,1.5,3,1,1.5,2,3,1.5,1,1.5,0.75,3,0,0,2,3,0,0,0,0,0,16,9,6.75,31.75,0.83,30,13,12,10,Surface flow present but not continuous,95,100,NA,0.000111844,11.9,97.6,30,27.9,1.08,2.5,0,0,0,0,3,2,3,0,2,4,Juga,none,VNA,-10,NA,natural,natural,1,1,1,1,0,0
302,224,43.79201,-123.13286,0.01,Unnamed trib to Barrett Creek,F09,OR_w,W,Y,E,I,E,E,E,0,0,0,9/8/2009,0:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,5,0,Surface water absent,0,0,0,0,NA,NA,NA,30,NA,0,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-50,natural,natural,0,0,0,0,0,1
303,227,43.81263,-122.72755,0.01,Unnamed trib to lost creek,F09,OR_w,W,N,E,E,E,E,E,0,0,0,9/9/2009,0:24,1,2,2,1,0,0,1,0,0,0.5,0.5,0,0.5,1,0,0,0,0,0,0,0,0,0,7,1,1.5,9.5,0.4,30,59,59,0,Surface water absent,0,0,0,0,NA,NA,30,30,1,0,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-40,natural,natural,0,0,0,0,1,0
304,229,43.82755,-122.74614,0.04,Unnamed trib to lost creek,F09,OR_w,W,N,I,P,I,I,I,1,0,0,9/9/2009,0:25,2,2,2,1,1,1,0.5,1,3,0.5,0.5,1.5,1.5,3,0,1,1,3,0,0,0,0,0,9.5,6.5,8.5,24.5,0.85,38,9,9,0,No observable surface flow but at least one pool present,0,0,6,0,13,113.5,38,36.5,1.04,0,0,0,0,0,1,1,1,0,0,4,Juga,none,VNA,-30,-50,natural,natural,1,1,0,1,0,1
305,233,43.85648,-122.70171,0.04,Unnamed trib to Middle Fork Willamette River,F09,OR_w,W,Y,P,I,I,P,P,0,0,0,9/9/2009,0:25,3,3,3,1.5,2,2,1.5,1,0,1,0.5,1.5,0.75,3,0,0,1,1,0,0,0,0,0,16,4,4.75,24.75,0.4,30,18,16,0,Continuous surface flow,100,100,NA,TS,12.5,53.8,30,26.7,1.12,3,0,0,0,0,2,0,0,0,0,1,mayflies,none,VNA,-30,NA,natural,natural,1,1,1,0,1,0
306,238,43.86297,-122.68497,0.46,Fern Creek,F09,OR_w,W,Y,I,P,I,I,I,1,0,0,8/26/2009,0:40,3,2,3,1,3,1,0,0,0,0.5,1,0,0.75,2,1,0,1,1,0,0,0,0,0,13,1.5,4.75,19.25,2.07,58,3,3,0,Surface water absent,0,0,0,0,NA,NA,58,55.5,1.05,2,2,0,0,0,0,0,0,0,0,1,northern caddisfly,none,VNA,NA,-30,modified natural,modified natural,1,1,0,0,0,1
307,243,43.89115,-123.19679,0.13,Unnamed trib to Ham Creek,F09,OR_w,W,Y,P,P,P,P,P,1,0,0,9/8/2009,0:33,3,3,3,1.5,3,0,1.5,1,0,1.5,0.5,1.5,0.75,3,0,0,3,3,0,0,0,0,0,15,4.5,6.75,26.25,0.7,42,12,12,0,Continuous surface flow,100,100,NA,0.000673497,13.5,137.3,42,41,1.02,3.5,0,3,0,0,2,2,3,0,0,4,Juga,none,VNA,0,NA,natural,natural,1,1,1,1,0,0
308,255,43.97129,-122.54663,0.08,Unnamed trib to Fall Creek,F09,OR_w,W,Y,P,P,I,P,P,1,0,0,9/9/2009,0:26,2,2,2,1,2,1,0.5,0,3,1,0,1.5,1.5,3,0,1,2,2,0,0,0,0,0,10.5,5.5,7.5,23.5,0.55,30,21,19,0,Continuous surface flow,100,100,NA,TS,13,121.2,30,27.4,1.09,2.5,1,0,0,0,2,0,1,0,2,2,2 EPT,none,VNA,-30,NA,natural,natural,1,1,1,0,1,0
309,256,43.99417,-122.59685,0.01,Unnamed trib to N.F. Fall Creek,F09,OR_w,W,Y,P,I,I,P,P,1,0,0,9/9/2009,0:30,2,2,2,1.5,2,1,1,0,3,1,0,1.5,1.5,2,0,0,2,3,0,0,0,0,0,11.5,5.5,6.5,23.5,0.4,30,11,11,0,Surface flow present but not continuous,70,100,NA,8.34E-05,12.2,33.7,30,28.9,1.04,2,1,0,0,0,2,0,2,0,0,4,Juga,none,VNA,-30,-50,natural,natural,1,1,1,1,0,0
310,277,44.23479,-123.40114,0.67,South Fork Ferguson Creek,F09,OR_w,W,Y,P,P,P,I,I,1,0,1,8/19/2009,0:54,3,3,3,1.5,3,3,0,3,3,1.5,1,1.5,0.75,3,0,1,3,3,0,0,3,0,0,16.5,10,10.75,37.25,1.96,78.7,3,2,0,Continuous surface flow,100,100,NA,0.016976493,12.8,96.4,78.7,64.5,1.22,4.5,0,0,0,0,0,2,3,0,0,4,Juga,none,VNA,5,NA,natural,natural,1,1,0,1,0,1
311,290,44.24905,-123.4203,0.02,Davidson Creek,F09,OR_w,W,Y,I,P,P,I,I,1,1,0,8/19/2009,0:35,3,3,3,1.5,3,2,1.5,0,0,1,0.5,0,0.75,3,0,0,1,2,0.5,1.5,0,0,0,17,1.5,7.25,25.75,0.36,30,25,22,0,Surface flow present but not continuous,50,50,NA,TS,NA,NA,30,26.4,1.14,5,1,0,0,0,1,0,0,0,0,2,2 EPT,amphibian eggs,VNA,-40,NA,natural,natural,1,1,0,0,1,0
312,291,44.2508,-122.8823,4.48,Unnamed trib to Crooked Creek,F09,OR_w,W,Y,P,P,P,P,P,1,0,0,8/20/2009,0:37,2,3,3,1.5,3,3,0,1,0,1.5,0,1.5,1.5,3,0,0,2,3,0,0,0,0,0,15.5,4,7.5,27,0.6,30,6,5,0,Surface flow present but not continuous,80,100,NA,0.000813037,13.7,78.9,30,24.5,1.22,4.5,0,0,0,0,2,0,3,0,0,4,Juga,none,VNA,-15,NA,natural,natural,1,1,1,1,0,1
313,293,44.25167,-122.86263,2.1,Unnamed trib to Seeley Creek,F09,OR_w,W,Y,E,I,E,E,E,0,0,0,8/20/2009,0:16,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,30,0,0,0,Surface water absent,0,0,0,0,NA,NA,NA,30,NA,0,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-50,natural,natural,0,0,0,0,0,1
314,296,44.26683,-122.87573,3.02,Unnamed trib to Shotgun Creek,F09,OR_w,W,Y,I,P,I,I,I,1,0,0,8/20/2009,0:30,2,2,2,1.5,2,2,1,0,3,0,0,1.5,0.5,2,0,0,2,3,0,0,0,0,0,12.5,4.5,5.5,22.5,0.48,30,31,27,5,Surface water absent,0,0,0,0,NA,NA,30,26.3,1.14,2.5,0,0,0,0,0,0,3,0,1,4,Juga,none,VNA,NA,-40,natural,natural,1,0,0,1,1,0
315,302,44.39506,-123.3236,0.08,Unnamed trib to Muddy Creek,F09,OR_w,W,Y,E,P,E,I,E,0,0,0,8/10/2009,0:27,1,0,0,0,0,0,0,0,0,0,0,0,0.75,1,0,0,0,0,0,0,0,0,0,1,0,1.75,2.75,0,30,0,0,0,Surface water absent,0,0,0,0,NA,NA,NA,30,NA,0,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-50,ditched,ditched,0,1,0,0,0,1
316,307,44.64521,-123.27825,0.15,Unnamed trib to Soap Creek,F09,OR_w,W,Y,P,I,P,P,P,0,0,0,8/12/2009,0:25,3,3,3,1.5,3,1,1.5,2,3,1.5,1.5,0,0.5,2,0,0,3,2,0,0,0,0,0,16,8,4.5,28.5,0.73,38.6,24,22,0,Continuous surface flow,100,100,0,0.001523549,14.8,120.1,38.6,35.4,1.09,2.5,1,0,0,0,2,2,0,0,2,2,2 EPT,none,VNA,0,NA,natural,natural,1,0,1,0,1,0
317,334,45.24968,-122.89248,0.007,Mission Creek,F09,OR_w,W,Y,P,P,P,I,I,1,1,1,8/11/2009,0:38,3,2,2,1.5,2,0,0,0,3,1.5,1,1.5,1.5,3,1.5,0,3,3,0.5,0.5,3,0,0,10.5,7,12.5,30,2.6,134,1,1,0,Continuous surface flow,100,100,0,0.010771642,19.5,148.8,100,96.3,1.04,3.5,0,4,2,0,0,2,4,0,0,4,Juga,adult frog,VNA,-30,NA,modified natural,modified natural,1,1,0,1,0,1
318,335,45.25155,-122.89331,0.007,Mission Creek,F09,OR_w,W,Y,I,P,E,I,I,0,0,0,8/11/2009,0:22,3,2,1,1,1,1,0,0,0,0,0,0,0.75,2,1,0,0,0,0,0,0,0,0,9,0,3.75,12.75,1.56,54.6,1,1,0,Surface water absent,0,0,0,0,NA,NA,54.6,51,1.07,2,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-50,modified natural,modified natural,0,1,0,0,0,1
319,336,45.25174,-122.89781,12.2,Mission Creek,F09,OR_w,W,Y,E,P,E,E,E,0,0,0,8/11/2009,0:21,2,1,1,1,0,1,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,6,0,1.5,7.5,0.71,36,1,1,0,Surface water absent,0,0,0,0,NA,NA,36,34.8,1.03,1,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-50,natural,natural,0,0,0,0,0,1
320,348,43.64249,-122.42834,0.05,Unnamed trib to Middle Fork Willamette River,F09,OR_w,W,Y,E,E,I,E,E,0,0,0,8/26/2009,0:35,3,2,3,1.5,3,1,1.5,0,0,0,1,0,0.75,2,0,0,0,0,0,0,0,0,0,15,1,2.75,18.75,1.07,44,32,30,0,Surface water absent,0,0,0,0,NA,NA,44,41.6,1.06,2,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-20,natural,natural,0,1,0,0,1,0
321,349,43.64348,-122.40747,0.03,Unnamed trib to Big Willow Creek,F09,OR_w,W,Y,E,E,E,E,E,0,0,0,8/26/2009,0:25,2,1,2,1,2,1,1.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,10.5,0.5,0.5,11.5,0.63,30,14,13,0,Surface water absent,0,0,0,0,NA,NA,30,27.9,1.08,2,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-35,natural,natural,0,0,0,0,0,0
322,350,43.66106,-123.11461,0.44,Johnson Creek,F09,OR_w,W,Y,P,E,I,I,I,1,0,0,9/8/2009,0:28,2,2,2,1,1,2,1.5,2,0,1,0.5,1.5,1.5,2,0,0,2,3,0,0,0,0,0,11.5,5,6.5,23,0.6,30,10,9,0,Surface flow present but not continuous,85,100,NA,0.001066095,11.2,39.5,30,26,1.15,3,1,0,0,0,0,1,0,0,0,4,free living caddisfly,none,VNA,0,-45,natural,natural,1,1,0,1,0,1
323,353,43.68962,-122.41317,0.21,Unnamed Trib to Middle Fork Willamette River,F09,OR_w,W,Y,E,E,I,E,E,0,0,0,8/25/2009,0:20,2,1,2,1,1,3,1,0,0,0.5,1,0,0,1,0,0,0,0,0,0,0,0,0,11,1.5,1,13.5,0.72,30,22,16,0,Surface water absent,0,0,0,0,NA,NA,30,21.5,1.4,4,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-50,natural,natural,0,0,0,0,1,0
324,354,43.69524,-122.93012,0.25,Blue Creek,F09,OR_w,W,N,P,P,P,P,P,1,0,0,9/8/2009,0:36,3,3,3,1.5,3,1,1.5,1,3,1,1.5,0,0.75,3,0,0,2,3,0,0,0,0,0,16,6.5,6.75,29.25,1.7,42,25,24,0,Continuous surface flow,100,100,NA,0.000310774,12.3,133.2,42,39.8,1.06,2,1,0,0,0,2,0,2,0,0,4,Juga,none,VNA,-30,NA,natural,natural,1,1,1,1,1,0
325,356,43.71092,-123.08381,0.05,Unnamed trib to Williams Creek,F09,OR_w,W,N,I,E,I,I,I,0,0,0,9/8/2009,0:22,3,3,3,1.5,2,2,1.5,0,0,0,0,1.5,1.5,3,0,0,0,0,0,0,0,0,0,16,1.5,4.5,22,0.65,30,9,8,0,No observable surface flow but at least one pool present,0,0,2,0,11.5,66.1,30,26,1.15,3,0,0,0,0,0,0,0,0,0,0,none,none,VNA,-30,-50,natural,natural,0,1,0,0,0,1
326,358,43.7604,-122.93735,0.12,Unnamed trib to Coast Fork Willamette River,F09,OR_w,W,Y,P,E,P,P,P,1,0,0,9/10/2009,0:20,3,3,3,1.5,3,2,1,2,0,1,1,1.5,0.75,3,0,0,2,3,0,0,0,0,0,16.5,5.5,6.75,28.75,0.73,30,7,6,0,No observable surface flow but at least one pool present,0,100,6,0,12.7,74.1,30,26.2,1.15,2.5,0,0,0,0,2,0,2,0,0,4,Juga,none,VNA,NA,-5,natural,natural,1,1,1,1,0,1
327,373,43.91382,-123.16544,0.05,Unnamed trib to Camas Swale Creek,F09,OR_w,W,Y,E,P,I,E,E,0,0,0,10/7/2009,0:30,2,2,1,1,2,2,1.5,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,11.5,0,1.5,13,0.63,30,15,13,0,Surface water absent,0,0,0,0,NA,NA,30,26.7,1.12,2,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-50,natural,natural,0,0,0,0,0,0
328,382,44.00645,-122.97961,0.33,Unnamed trib to Coast Fork Willamette River,F09,OR_w,W,N,I,P,I,I,I,1,0,0,9/10/2009,0:20,3,3,3,1.5,2,1,1.5,0,0,0,1,0,0.75,3,0,0,1,2,0,0,0,0,0,15,1,5.75,21.75,1.3,50.6,7,7,0,Surface water absent,0,0,0,0,NA,NA,50.6,48,1.05,2.5,3,0,0,0,0,0,0,0,0,2,northern caddisfly,none,VNA,NA,-20,natural,natural,1,1,0,0,0,1
329,383,43.99944,-122.97526,0.09,Unnamed trib to Coast Fork Willamette River,F09,OR_w,W,Y,E,E,I,I,I,1,0,0,9/10/2009,0:27,3,3,3,1.5,3,2,1.5,0,0,0,1.5,0,0.75,3,0,0,1,2,0,0,0,0,0,17,1.5,5.75,24.25,1.06,56,18,16,0,Surface water absent,0,0,0,0,NA,NA,56,50.9,1.1,3,1,0,0,0,0,0,0,0,0,2,northern caddisfly,none,VNA,NA,-50,natural,natural,1,1,0,0,1,0
330,391,44.203,-122.98948,0.08,Unnamed trib to Coleman Creek,F09,OR_w,W,Y,P,I,P,P,P,1,0,0,8/20/2009,0:39,3,3,3,1.5,3,2,0.5,1,0,1.5,0,1.5,1.5,3,0,0,2,3,0,0,0,0,0,16,4,7.5,27.5,0.63,30,2,2,0,Surface flow present but not continuous,90,100,NA,0.002307209,11.2,138.9,30,25,1.2,1.5,0,0,0,0,2,0,3,0,2,4,Juga,none,VNA,-50,NA,natural,natural,1,1,1,1,0,1
331,393,44.23895,-123.41121,0.04,Unnamed trib to South Fork Ferguson Creek,F09,OR_w,W,N,E,I,E,E,E,0,0,0,8/19/2009,0:25,1,1,0,0.5,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,3,0,0.5,3.5,1.73,30,28,28,0,Surface water absent,0,0,0,0,NA,NA,30,30,1,0,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-50,natural,natural,0,0,0,0,1,0
332,394,44.25324,-122.84688,0.05,Unnamed trib to Shotgun Creek,F09,OR_w,W,Y,P,E,P,P,P,1,1,0,8/20/2009,0:28,3,3,3,1.5,3,1,1.5,1,0,1.5,1,0,0.75,3,0,0,2,3,0.5,1.5,0,0,0,16,3.5,8.25,27.75,0.63,45,22,20,0,Continuous surface flow,100,100,NA,0.000338673,13.3,128.5,45,41,1.1,3.5,2,0,0,0,3,0,4,0,0,4,Juga,pacific giant salamander,VNA,-10,NA,natural,natural,1,1,1,1,1,0
333,395,44.2824,-122.82162,0.04,Unnamed trib to Brush Creek,F09,OR_w,W,Y,E,E,I,E,E,0,0,0,8/20/2009,0:30,2,2,2,1.5,2,1,1.5,0,0,0,1,0,0.75,0,0,0,0,0,0,0,0,0,0,12,1,0.75,13.75,0.68,49.3,22,20,0,Surface water absent,0,0,0,0,NA,NA,49.3,45,1.1,2.5,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-50,natural,natural,0,1,0,0,1,0
334,399,44.71422,-123.32855,0.07,Unnamed trib to Staats Creek,F09,OR_w,W,Y,E,E,E,E,E,0,0,0,8/12/2009,0:30,1,1,1,0.5,1,2,0.5,0,0,0,0.5,0,0.5,1,0,0,0,0,0,0,0,0,0,7,0.5,1.5,9,0.53,30,17,15,0,Surface water absent,0,0,0,0,NA,NA,30,26,1.15,3.5,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-50,natural,natural,0,0,0,0,1,0
335,402,44.71813,-123.33069,0.09,Unnamed trib to Staats Creek,F09,OR_w,W,Y,E,E,I,E,E,0,0,0,8/12/2009,0:38,1,2,2,1,1,2,1,0,3,0,0,0,0.5,1,0,1,0,0,0,0,0,0,0,10,3,2.5,15.5,0.5,30,16,14,0,No observable surface flow but at least one pool present,0,0,1,0,NA,NA,30,26.4,1.14,4,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-40,modified natural,modified natural,0,0,0,0,1,0
336,411,44.96185,-123.25128,0.08,Unnamed trib to Baskets Slough,F09,OR_w,W,Y,I,E,E,E,E,0,0,0,8/11/2009,0:14,3,1,2,1.5,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0.43,30,2,2,0,Surface water absent,0,0,0,0,NA,NA,30,30,1,0,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-50,ditched,ditched,0,0,0,0,0,1
337,417,45.1117,-123.03256,1.2,Unnamed trib to Willamette River,F09,OR_w,W,Y,E,E,E,E,E,0,0,0,8/11/2009,0:18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,37.3,1,1,0,Surface water absent,0,0,0,0,NA,NA,37.3,36.2,1.03,1,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-50,natural,natural,0,0,0,0,0,1
